"Nodes";"DateTime"
2733;2014-03-21
2727;2014-03-21
2728;2014-03-22
2719;2014-03-22
2711;2014-03-22
2715;2014-03-22
2710;2014-03-22
2691;2014-03-22
2689;2014-03-22
2695;2014-03-22
2699;2014-03-22
2699;2014-03-22
2704;2014-03-22
2711;2014-03-22
2721;2014-03-22
2721;2014-03-22
2720;2014-03-22
2717;2014-03-22
2721;2014-03-22
2723;2014-03-22
2721;2014-03-22
2719;2014-03-22
2727;2014-03-22
2726;2014-03-22
2729;2014-03-22
2725;2014-03-22
2723;2014-03-23
2716;2014-03-23
2716;2014-03-23
2722;2014-03-23
2707;2014-03-23
2698;2014-03-23
2691;2014-03-23
2693;2014-03-23
2692;2014-03-23
2705;2014-03-23
2701;2014-03-23
2715;2014-03-23
2715;2014-03-23
2717;2014-03-23
2715;2014-03-23
2706;2014-03-23
2717;2014-03-23
2724;2014-03-23
2724;2014-03-23
2720;2014-03-23
2725;2014-03-23
2721;2014-03-23
2715;2014-03-23
2723;2014-03-23
2740;2014-03-24
2735;2014-03-24
2722;2014-03-24
2719;2014-03-24
2707;2014-03-24
2715;2014-03-24
2717;2014-03-24
2717;2014-03-24
2722;2014-03-24
2735;2014-03-24
2736;2014-03-24
2742;2014-03-24
2736;2014-03-24
2740;2014-03-24
2750;2014-03-24
2753;2014-03-24
2747;2014-03-24
2746;2014-03-24
2749;2014-03-24
2740;2014-03-24
2740;2014-03-24
2759;2014-03-24
2757;2014-03-24
2761;2014-03-24
2756;2014-03-25
2746;2014-03-25
2737;2014-03-25
2730;2014-03-25
2728;2014-03-25
2726;2014-03-25
2732;2014-03-25
2725;2014-03-25
2733;2014-03-25
2720;2014-03-25
2725;2014-03-25
2746;2014-03-25
2757;2014-03-25
2745;2014-03-25
2747;2014-03-25
2751;2014-03-25
2760;2014-03-25
2755;2014-03-25
2756;2014-03-25
2757;2014-03-25
2768;2014-03-25
2762;2014-03-25
2758;2014-03-25
2757;2014-03-25
2745;2014-03-26
2643;2014-03-26
2726;2014-03-26
2726;2014-03-26
2716;2014-03-26
2728;2014-03-26
2718;2014-03-26
2716;2014-03-26
2727;2014-03-26
2729;2014-03-26
2736;2014-03-26
2752;2014-03-26
2755;2014-03-26
2657;2014-03-26
2663;2014-03-26
2666;2014-03-26
2758;2014-03-26
2755;2014-03-26
2763;2014-03-26
2761;2014-03-26
2777;2014-03-26
2779;2014-03-26
2772;2014-03-26
2772;2014-03-26
2768;2014-03-27
2766;2014-03-27
2754;2014-03-27
2736;2014-03-27
2747;2014-03-27
2743;2014-03-27
2739;2014-03-27
2739;2014-03-27
2747;2014-03-27
2747;2014-03-27
2753;2014-03-27
2761;2014-03-27
2767;2014-03-27
2757;2014-03-27
2765;2014-03-27
2757;2014-03-27
2758;2014-03-27
2760;2014-03-27
2761;2014-03-27
2766;2014-03-27
2769;2014-03-27
2764;2014-03-27
2769;2014-03-27
2757;2014-03-27
2751;2014-03-28
2749;2014-03-28
2749;2014-03-28
2736;2014-03-28
2741;2014-03-28
2739;2014-03-28
2738;2014-03-28
2740;2014-03-28
2746;2014-03-28
2745;2014-03-28
2763;2014-03-28
2766;2014-03-28
2763;2014-03-28
2764;2014-03-28
2764;2014-03-28
2764;2014-03-28
2773;2014-03-28
2778;2014-03-28
2783;2014-03-28
2783;2014-03-28
2786;2014-03-28
2776;2014-03-28
2770;2014-03-28
2769;2014-03-28
2761;2014-03-29
2756;2014-03-29
2745;2014-03-29
2738;2014-03-29
2732;2014-03-29
2727;2014-03-29
2727;2014-03-29
2727;2014-03-29
2728;2014-03-29
2742;2014-03-29
2745;2014-03-29
2766;2014-03-29
2766;2014-03-29
2761;2014-03-29
2765;2014-03-29
2763;2014-03-29
2758;2014-03-29
2760;2014-03-29
2761;2014-03-29
2758;2014-03-29
2758;2014-03-29
2755;2014-03-29
2748;2014-03-29
2750;2014-03-29
2740;2014-03-30
2732;2014-03-30
2732;2014-03-30
2722;2014-03-30
2724;2014-03-30
2716;2014-03-30
2717;2014-03-30
2726;2014-03-30
2723;2014-03-30
2736;2014-03-30
2743;2014-03-30
2748;2014-03-30
2755;2014-03-30
2754;2014-03-30
2761;2014-03-30
2759;2014-03-30
2752;2014-03-30
2748;2014-03-30
2750;2014-03-30
2753;2014-03-30
2755;2014-03-30
2760;2014-03-30
2757;2014-03-30
2755;2014-03-31
2756;2014-03-31
2744;2014-03-31
2737;2014-03-31
2730;2014-03-31
2728;2014-03-31
2727;2014-03-31
2729;2014-03-31
2734;2014-03-31
2741;2014-03-31
2748;2014-03-31
2753;2014-03-31
2765;2014-03-31
2771;2014-03-31
2765;2014-03-31
2766;2014-03-31
2773;2014-03-31
2775;2014-03-31
2769;2014-03-31
2761;2014-03-31
2778;2014-03-31
2775;2014-03-31
2781;2014-03-31
2777;2014-03-31
2769;2014-04-01
2771;2014-04-01
2759;2014-04-01
2750;2014-04-01
2744;2014-04-01
2737;2014-04-01
2742;2014-04-01
2749;2014-04-01
2751;2014-04-01
2756;2014-04-01
2768;2014-04-01
2777;2014-04-01
2779;2014-04-01
2784;2014-04-01
2535;2014-04-01
2783;2014-04-01
2779;2014-04-01
2785;2014-04-01
2784;2014-04-01
2779;2014-04-01
2787;2014-04-01
2780;2014-04-01
2781;2014-04-01
2770;2014-04-01
2775;2014-04-02
2769;2014-04-02
2528;2014-04-02
2765;2014-04-02
2724;2014-04-02
2725;2014-04-02
2722;2014-04-02
2743;2014-04-02
2761;2014-04-02
2762;2014-04-02
2771;2014-04-02
2768;2014-04-02
2770;2014-04-02
2774;2014-04-02
2781;2014-04-02
2781;2014-04-02
2772;2014-04-02
2781;2014-04-02
2779;2014-04-02
2785;2014-04-02
2788;2014-04-02
2785;2014-04-02
2784;2014-04-02
2786;2014-04-02
